,video_id,author,comment,published_at
0,7MAJfcG8B7E,@SmartMoneywithKai,"⚡ ALL MY FAVOURITE TOOLS
https://smartmoneywithkai.com/tools 
👋 LET’S CONNECT ON INSTAGRAM
https://www.instagram.com/smartmoneywithkai  
🟡 JOIN SMART MONEY CLUB
https://www.smartmoneywithkai.com/smartmoneyclub",2024-07-18T16:22:20Z
1,7MAJfcG8B7E,@bakierol5315,spare change is scam! i have spent 130£  without noticing. i have 10k rev points which is worth 90$,2024-10-30T02:41:59Z
2,7MAJfcG8B7E,@salmanraza1811,"I just noticed I spent 280 Euros in the last 03 months due to the spare change feature. Completely disappointed, I wish I could have seen your video before. Will try to redeem my 17000 Rev points now in some useful way.",2024-10-30T00:34:43Z
3,7MAJfcG8B7E,@ellipir5560,"I thought why not, enabled the revpoint program, however I didn't notice the spare change feature. So now I've spent 40€ to get 2000 revpoints worth around 12€ on booking. Very much worth it.",2024-10-26T12:29:17Z
4,7MAJfcG8B7E,@zeppirl,"Metal user here. Rev points are not a good deal. Cashback was better. It's a gimmick.
You can get prices for flights hotels and experiences cheaper elsewhere with out using rev points for ""discounts"".",2024-10-21T10:49:10Z
5,7MAJfcG8B7E,@_aboutsyd,doesn't seem quite interesting then if you have a standard Revolut account then. Thank you for the very specific useful video!,2024-10-16T15:27:12Z
6,7MAJfcG8B7E,@emmanuelg.7185,they expire within 3 years as revoluts claims on the app,2024-10-09T19:19:58Z
7,7MAJfcG8B7E,@drooner,"They can change the ratio every time, like the airlines do. Before you could get a free flight for 10k points, now you need 50k. 
It's a way for them to reduce the value of the points in the future. So, no thank you. I won't do anything special in order to get points.",2024-10-08T14:36:58Z
8,7MAJfcG8B7E,@alaminassadiq,Spare change feature is meaningless.,2024-10-06T07:15:51Z
9,7MAJfcG8B7E,@kirmistube,"So, in case of keep ""Spare Change"" enabled, you are going to charge with € or $ for extra REV points?",2024-09-27T14:09:00Z
10,7MAJfcG8B7E,@czechtravel,Rev points expiration date is 3 years.,2024-09-14T23:07:25Z
11,7MAJfcG8B7E,@ReliablePick,"Hi Kai great video, just a quick question with my standard revolut card I have to turn on spare change round-ups to earn revpoints for spending money. I was wondering if the paid plans (i.e premium, metal and Ultra) allow you to earn revpoints with round ups turned off. That would really incentivize me to upgrade as I don't want to spend money buying revpoints.",2024-08-31T19:16:46Z
12,7MAJfcG8B7E,@felipevieira360,"In my opinion the best option would be to use the points for airline transfer. If you understand a little bit of how miles work, 10k miles is quite a lot if you accumulate it organically with your daily expenses. 
To use the miles for Stays it’s a bit of a scam from what I saw when I tried to book something using the points. But this is just my opinion and nobody should listen to it without actually checking things out for themselves🫶🏼",2024-08-29T11:09:36Z
13,7MAJfcG8B7E,@JustALilBtc,Would you take Revolut over Ibkr ?,2024-08-25T18:05:41Z
14,7MAJfcG8B7E,@xavigil4795,"I have around 4k RevPoints, most of the discounts on Stays offer a price of 0.01€ per RevPoint. I couldn't test RevPay though but I'm assuming it would be a similar price.  Where you can actually get a good price for the money is in exchanging it for air miles. For instance an Avio might be usually valued at 0.02€ and even 0.04€ in long hauls flights. If you do one or two long haul flights per year it makes economic sense to earn RevPoints instead of cashback, on the Ultra plan you might be earning 2-4% cashback then.",2024-07-26T15:47:39Z
15,7MAJfcG8B7E,@alex-vp6ky,"If i have 10k revpoints how much distance is thst for a flight? Also can u use it for my friend also, i guess it will be 2 tickets and i will need double the points ?",2024-07-25T17:22:35Z
16,7MAJfcG8B7E,@lukasabater,"Hey mate! Great video. I don’t know if I’m the only one but I have had the RevPoints feature activated for quite some time now (last 3-4 months). I have gotten around 5k points and converted them all to flying miles. As I have understood, RevPoints expire after 1 year but I might be wrong. Other than that, great video! Also, I’m on the Metal plan and we also have the partnerships with The Athletic, Chess and Masterclass but we have lower “tiers” of the same app. Kind of like FT.",2024-07-19T21:10:58Z
17,7MAJfcG8B7E,@AR9ify,Revolut hotel prices are worse than what you get when booking on other platforms. I ha e ultra and think slow service/and the benefits does not equal the cost of the plan.,2024-07-19T15:33:53Z
18,7MAJfcG8B7E,@PedroJPCosta,"Once a again, great video with a clear explanation. I am stick like a glue with my Revolut Metal card for everyday expenses. The RevPoints are valid for 3 years from the date they're received in our accounts.",2024-07-19T10:45:12Z
19,7MAJfcG8B7E,@vivekpatel009,"Hiii Kai, 
thanks for very Informative video as always.  The only thing is stopping me to use Revolute is credit card feature. I have to have credit card because in many places they ask for credit card  and it also convenient to way to pay.  specially traditional banks are charging too much fees for bank account and  credit card with no interest.  If they add credit card feature then i would love to switch premium or metal plan for my salary  account.",2024-07-19T05:59:17Z
20,7MAJfcG8B7E,@Thawra2.0,Just yesterday i was wondering about the revpoints few hours later u come up with this great answer video 🙌♥️ ( hope they don't expire tho),2024-07-19T05:08:25Z
21,7MAJfcG8B7E,@drudman36p,"Any points are valid for 3 years after they are received. After this time, they permanently expire and can no longer be redeemed. 
You can see when your points expire in the app.

👍✌🤳",2024-07-18T21:59:20Z
22,7MAJfcG8B7E,@giorgiomaria,"Thank you so much, it is really useful",2024-07-18T21:07:06Z
23,7MAJfcG8B7E,@sugibrar6886,"Great video! So I was wondering if 1 RevPoint is 1 air mile, than wouldn’t around 3000 points already be able to cover almost any flight and back in Europe?",2024-07-18T19:13:06Z
24,7MAJfcG8B7E,@daleonwheeler3717,I am here first hahaha waited for this video😊😊😊😊,2024-07-18T18:32:49Z
25,p1Ni5ZuOVZ4,@ipohertroyanov464,Tl dr Revpoints are useless,2024-10-28T13:27:06Z
26,p1Ni5ZuOVZ4,@harnaikaujla3400,I have £10k worth of revpoints I may aswell use at this point,2024-10-16T00:44:29Z
27,p1Ni5ZuOVZ4,@drooner,"They can also change the ratio every time, like the airlines do. Before you could get a free flight for 10k points, now you need 50k. 
It's a way for them to reduce the value of the points in the future. So, no thank you. I won't do anything special in order to get points.",2024-10-08T14:40:24Z
28,p1Ni5ZuOVZ4,@marcinblee100,"It is better to save change in saving accout, this points are useless",2024-10-04T12:28:44Z
29,p1Ni5ZuOVZ4,@ArunochaWutha,I would like to know if the points can be converted into cash in my account. 8:57,2024-09-23T08:13:22Z
30,p1Ni5ZuOVZ4,@ArunochaWutha,I would like to know if the points can be converted into cash in my account.,2024-09-23T08:12:38Z
31,p1Ni5ZuOVZ4,@ArunochaWutha,I would like to know if the points can be converted into cash in my account.,2024-09-23T08:12:18Z
32,p1Ni5ZuOVZ4,@gilles2269,"Revolut is a big scam , the points system is absolutely foggy, and even the support don't understand it !  what a joke.
Don't waste your time!",2024-09-12T08:55:45Z
33,p1Ni5ZuOVZ4,@elliottdennis2014,"So the Revolut metal card, 1 point for ever £2 spent, is effectively the same as the Amex rewards, and is a Visa or Mastercard?",2024-09-10T19:45:04Z
34,p1Ni5ZuOVZ4,@mikaelhelin6348,In many places I read that 1 revpoint = 1 avios. The problem is that 1 Avios does not give you 1 mile. Maybe you must pay 10 Avios for a mile.,2024-08-31T12:12:43Z
35,p1Ni5ZuOVZ4,@david1981-d5f,if ur buying points is that taking away some of the discounts say of a room,2024-08-20T17:59:43Z
36,p1Ni5ZuOVZ4,@mateibarbu1515,Can I exchange points to money?,2024-07-12T11:52:28Z
37,p1Ni5ZuOVZ4,@charliemiskelly7053,"The Cashback scheme with Revolut was good, I got 7% back on Aliexpress which was the highest compared with other Cashback options shame they have got rid of it",2024-06-28T08:35:20Z
38,p1Ni5ZuOVZ4,@SumitraKH-b7p,After using tide service all I want to say scammers revolut is best,2024-06-27T04:47:51Z
39,p1Ni5ZuOVZ4,@BharadiaKai,1:10 Ultra fee is actually £55 per month,2024-06-25T14:01:46Z
40,p1Ni5ZuOVZ4,@BonkersAboutAlice,"Frankly I can't see any real benefit in this Avios incentive. Many other better and cost free ways to gain Avios. Come on, 1 Avios for every £10 is the worst ""reward"" rate anywhere.",2024-06-24T17:30:06Z
41,p1Ni5ZuOVZ4,@Kelly-ce4md,"I paid an Annual fee in full for the Premium option because it was great for travelling, 90 days insurance and Lounges if flight is delayed for more than an hour, I'm annoyed with Revolut that they've now removed these benefits mid plan, and the new options are no longer any benefits. Was a fan, no longer 😢",2024-06-24T16:10:39Z
42,TW__W5AGKEQ,@harrietxo2310,"Have you spoken about the revolutionaries event with Charli XCX headlining? I’m so confused with what it is exactly but there’s a ballot for lower tier users to get free tickets, metal users will get emailed a code to claim a free ticket and VIP users will get the same but the tickets are VIP (the tickets will allow for a +1 too). However, there’s a limited number of tickets for each type of event, you can only select one and it’s first come first served in regards to obtaining the free tickets",2024-10-25T12:48:41Z
43,TW__W5AGKEQ,@harrietxo2310,10k points is only if you spend a specific amount within a specific time (a few months I think),2024-10-25T12:36:51Z
44,TW__W5AGKEQ,@jericho_bees,Currensea which you can stay with your preferred bank giving you more flexibility of getting the best deal while neatly avoiding high street bank fees. Free version giving 2 flyer points per £1.  And there's some interesting new features in the pipeline😉,2024-10-23T18:04:59Z
45,TW__W5AGKEQ,@DavidThomas658,"A man who had £165,000 stolen from his Revolut business account by fraudsters has told BBC Panorama he believes the company’s security measures failed to prevent the theft.

He says criminals managed to bypass the ID verification process to gain access to his account.

So far, Revolut has refused to refund this money.

The BBC has found that Revolut was named in more reports of fraud in the last financial year than any of the major High Street banks.

The e-money firm - which has not yet been granted full status as a bank - says it takes fraud incredibly seriously and that it has “robust controls” to meet its legal and regulatory obligations.",2024-10-14T10:12:15Z
46,TW__W5AGKEQ,@ionsilvan9169,Alternatives apps?,2024-10-13T10:33:19Z
47,TW__W5AGKEQ,@Mateusgava1,"Which one is better in your opinion? Chase or Revolut? I opened an account with both still very unsure which one to go with, I’m not one that travels a lot, I just want to grow my account and get rewarded with money, essentially improving my savings.",2024-10-11T01:26:12Z
48,TW__W5AGKEQ,@Decipher34,Hey Jonny when are you going to go back to your other channel with chloe?,2024-10-09T21:47:30Z
49,TW__W5AGKEQ,@jafarsh614,"Once Revolut gets a full banking license, will they remove fees when depositing cash into my Revolut bank account",2024-10-05T00:04:13Z
50,TW__W5AGKEQ,@klimtkahlo,Are you familiar with Western Europe and how does it compare? Need to transfer USA dollars to euros,2024-10-02T12:41:32Z
51,TW__W5AGKEQ,@MartykanT,"Revolut exchange rates have gotten a lot worse, it's no longer the midmarket rate",2024-09-30T08:51:45Z
52,TW__W5AGKEQ,@MichelSarmento,"Revolut and Wise Not accepting  new USA costumers, Any other good alternative?",2024-09-29T09:28:51Z
53,TW__W5AGKEQ,@99Kasp,if i cancel my premium trial how much do i pay for the card @monito,2024-09-28T14:40:50Z
54,TW__W5AGKEQ,@travellerseko,I was gonna get Ultra due to perks but I decided to go with AMEX BA premium plus and Platinum. I am not confident to use Revolut in UK due to not having FSCS protection. Also AMEX have brilliant customer service.,2024-09-27T18:34:43Z
55,TW__W5AGKEQ,@MrBaileydan,Sponsored by revolut obviously. Companies do not make changes to better the customers.,2024-09-24T05:56:24Z
56,TW__W5AGKEQ,@SimonHume81,"Stay away from Revolut, customer care is lacking! They were great until they de-banked me during the lockdown and refused to respond to any messages!",2024-09-22T21:27:54Z
57,TW__W5AGKEQ,@georgeharalambous261,Woke up today to notice the dollar interest rate has dropped in the flexible account. Should i be worried?,2024-09-20T07:10:42Z
58,TW__W5AGKEQ,@MarillynGose-mz1dd,"I'm not usually one to jump into presales, but with Cortux, I couldn't resist. This is a solid project with massive potential!",2024-09-17T20:33:27Z
59,TW__W5AGKEQ,@SudipMalu-jf4gm,Exciting times for Cortux – partnerships with major industry players are unlocking new possibilities. This presale rocks...,2024-09-17T20:32:33Z
60,TW__W5AGKEQ,@DominiqueAriel-wy8by,The next big thing in crypto is Cortux! Now is the last chance to get CRX tokens at presale price.,2024-09-17T20:31:39Z
61,TW__W5AGKEQ,@user-tv7ur8lv8k,Cortux's e-commerce integration is what sets it apart for me. Imagine shopping online with crypto as easily as with a credit card. Time to join the presale ASAP.,2024-09-17T20:31:11Z
62,TW__W5AGKEQ,@Mimosamantha,"I´m bullish on Cortux and their CRX token, presale at its finest, don´t miss",2024-09-17T20:30:43Z
63,TW__W5AGKEQ,@a-random._account1,"Today I logged into my revolut accounts. A few months ago I'd set a goal thing that had like €500 in it, then they updated that feature, idk when bc i didn't log in for months, and I never got my €500 back. Please help",2024-09-17T14:56:22Z
64,TW__W5AGKEQ,@Its_Rishi_millionairejourney,"Hello brother i need urgent help from you, first question, is revolut available in india to take international payments. 
Second, how can i open a revolut business account if i don't have an registered entity
(i am a dropshipper) .",2024-09-16T14:44:20Z
